618817,618781,618772,618769,618769,618769,618769,618769,618769,618769,618769,618769,618769,618769
618817,618785,618772,618764,618763,618763,618763,618763,618763,618763,618763,618763,618763,618763
618817,618787,618773,618771,618771,618771,618771,618771,618771,618771,618771,618771,618771,618771
618817,618777,618768,618765,618765,618765,618765,618765,618765,618765,618765,618765,618765,618765
618817,618774,618766,618760,618760,618760,618760,618760,618760,618760,618760,618760,618760,618760
618817,618779,618768,618765,618765,618765,618765,618765,618765,618765,618765,618765,618765,618765
618817,618781,618774,618773,618771,618771,618770,618770,618769,618769,618769,618769,618769,618769
618817,618781,618769,618768,618768,618767,618767,618767,618767,618767,618767,618767,618767,618767
618817,618790,618782,618779,618779,618779,618779,618779,618779,618779,618779,618779,618779,618779
618817,618789,618779,618778,618777,618777,618777,618777,618777,618777,618777,618777,618777,618777
