1715275,1715135,1715100,1715090,1715087,1715086,1715086,1715085,1715085,1715085,1715085,1715085,1715085,1715085,1715085
1715275,1715116,1715080,1715071,1715070,1715069,1715069,1715069,1715069,1715069,1715069,1715069,1715069,1715069,1715069
1715275,1715128,1715093,1715085,1715084,1715083,1715083,1715083,1715083,1715083,1715083,1715083,1715083,1715083,1715083
1715275,1715132,1715096,1715085,1715084,1715084,1715083,1715083,1715083,1715083,1715083,1715083,1715083,1715083,1715083
1715275,1715137,1715105,1715096,1715094,1715093,1715093,1715093,1715093,1715093,1715093,1715093,1715093,1715093,1715093
1715275,1715150,1715123,1715117,1715115,1715114,1715114,1715114,1715114,1715114,1715114,1715114,1715114,1715114,1715114
1715275,1715147,1715106,1715096,1715096,1715096,1715096,1715096,1715096,1715096,1715096,1715096,1715096,1715096,1715096
1715275,1715137,1715105,1715092,1715091,1715090,1715090,1715089,1715089,1715089,1715089,1715089,1715089,1715089,1715089
1715275,1715126,1715099,1715091,1715088,1715088,1715088,1715088,1715088,1715088,1715088,1715088,1715088,1715088,1715088
1715275,1715126,1715085,1715072,1715072,1715071,1715071,1715071,1715071,1715071,1715071,1715071,1715071,1715071,1715071
