268786,268773,268772,268771,268770,268770,268770,268770,268770,268770,268770,268770,268770
268786,268777,268775,268772,268772,268772,268772,268772,268772,268772,268772,268772,268772
268786,268769,268768,268767,268767,268767,268767,268767,268767,268767,268767,268767,268767
268786,268773,268769,268767,268767,268767,268767,268767,268767,268767,268767,268766,268766
268786,268774,268769,268767,268767,268766,268766,268766,268766,268766,268766,268766,268766
268786,268773,268771,268769,268768,268768,268768,268768,268768,268768,268768,268768,268768
268786,268776,268773,268772,268772,268772,268772,268772,268772,268772,268772,268772,268772
268786,268771,268766,268765,268765,268765,268765,268765,268765,268765,268765,268765,268765
268786,268765,268762,268762,268762,268762,268762,268762,268762,268762,268762,268762,268762
268786,268773,268770,268769,268769,268769,268769,268769,268769,268769,268769,268769,268769
